job_id,lineage_id,name_stem,size_class,arrangement,crossover_a,crossover_b,n_pair_combinations,duration_ps,n_frames,structural_gates_applied,valid_frames,pct_frames_structurally_valid,raw_mean_best_periodic_propensity,raw_pct_any_reactive_corner,mean_best_periodic_propensity,median_best_periodic_propensity,p95_best_periodic_propensity,pct_any_reactive_corner
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,d4de6f31-daf5-4f47-957b-4d6ab02dea6b,ebabccd4-7c2c-4786-88ae-06a3b0a41446,4,490.0000014608888,150,True,150,100.0,0.17585648582236377,0.0,0.17585648582236377,0.17476980247749474,0.2655181078144876,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,57ec5181-4756-48fa-8a32-d5a6d5aa5acc,73481d3c-7035-492d-8733-a4943de2d919,4,490.0000014608888,150,True,150,100.0,0.11274714705291117,0.0,0.11274714705291117,0.11202483120977387,0.15451906876010396,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,27508db6-884d-4b1e-8435-e1be95a32e0a,7cd35475-6a13-4004-b446-e67e71bd2de4,4,490.0000014608888,150,True,145,96.66666666666667,0.10324975057701902,0.0,0.1030407704324735,0.10238223413009029,0.13248795946814573,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,584b1faa-b569-4dcb-b382-cc95fdaa75cf,8c96d10b-f047-444f-ad3b-740f2c963bd5,4,490.0000014608888,150,True,150,100.0,0.030199176453811802,0.0,0.030199176453811802,0.023108489093392526,0.06910648174510835,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,accc07e6-a6df-431d-9090-d24cf77a8ec9,f03fbd93-0a6c-4e2c-a8ae-445c7ffb95bb,4,490.0000014608888,150,True,150,100.0,0.015720255249063408,0.0,0.015720255249063408,0.007801230120659041,0.049095466262079,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,2a28e63b-4756-43dd-bb45-5435edd57bd9,a29b35ed-406c-4b0c-add8-ef4f1822374e,4,490.0000014608888,150,True,150,100.0,0.016354221949486974,0.0,0.016354221949486974,0.015212686242431626,0.028693186931471267,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,41fcc558-4b99-4f21-9707-916061a18848,ab80dac9-8463-4a42-9475-c57dfcaee96d,4,490.0000014608888,150,True,150,100.0,0.011096037938216249,0.0,0.011096037938216249,0.003857255718894609,0.04500744886568744,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,04df3cd6-271d-4b2b-bbce-e067da20c9ce,e9b0bf88-e7ca-4c82-b297-7a121ab0b6d1,4,490.0000014608888,150,True,150,100.0,0.01067361329861563,0.0,0.01067361329861563,0.0072962959868553695,0.028341562666328125,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,46f301e7-006a-464f-8cd9-709d2ef35e4a,a9fec5a5-9462-4d69-8506-528ad6d779ec,4,490.0000014608888,150,True,150,100.0,0.011689240949599585,0.0,0.011689240949599585,0.008330034569583207,0.03178860614283111,0.0
0ad7fe0f7d9f,0ad7fe0f7d9f,6hb_2xT,larger_origami,2-2,a24c19c0-af3d-4a37-812b-3eeae7d7643e,bbaebf97-40b6-40c9-92ef-a9ff601820fc,4,490.0000014608888,150,True,150,100.0,0.0055438435134913455,0.0,0.0055438435134913455,0.0035899210902789044,0.017456271379133227,0.0
