sweep,helix,delta,count,total_skips,twist_deg,bend_deg,rmsd_nm,dev_max_nm,dev_mean_nm,n_core,solve_s,error
axis,h_XY_0_4,16,26,196,10.431,10.843,1.2144,3.4163,1.0832,14008,372.5,
axis,h_XY_0_4,20,30,200,9.335,13.613,1.4788,4.0715,1.3134,14000,376.2,
axis,h_XY_0_5,-6,4,174,15.04,4.739,0.635,1.8575,0.5681,14052,368.1,
axis,h_XY_0_5,-8,2,172,15.362,6.325,0.7539,2.1856,0.6715,14056,377.5,
axis,h_XY_0_5,-4,6,176,14.812,3.082,0.5347,1.5354,0.4783,14048,374.0,
axis,h_XY_0_5,-2,8,178,14.489,1.815,0.4655,1.2241,0.4097,14044,373.1,
axis,h_XY_0_5,-1,9,179,14.359,1.094,0.4474,1.0756,0.3873,14042,370.4,
axis,h_XY_0_5,1,11,181,14.107,1.005,0.4511,1.0768,0.3901,14038,368.1,
axis,h_XY_0_5,2,12,182,13.998,1.559,0.4725,1.2242,0.4162,14036,370.2,
axis,h_XY_0_5,6,16,186,13.543,4.517,0.6513,1.9247,0.5881,14028,367.8,
axis,h_XY_0_5,4,14,184,13.726,2.914,0.5472,1.5667,0.492,14032,380.9,
axis,h_XY_0_5,8,18,188,13.313,5.951,0.7732,2.2882,0.6968,14024,376.0,
axis,h_XY_0_5,12,22,192,12.771,8.859,1.0449,3.0378,0.935,14016,377.1,
axis,h_XY_0_5,20,30,200,11.774,14.847,1.6339,4.5885,1.4474,14000,373.8,
axis,h_XY_0_5,16,26,196,12.367,11.83,1.335,3.8076,1.1876,14008,379.0,
axis,h_XY_1_5,-8,2,172,17.934,3.167,0.5808,1.5556,0.5219,14056,371.2,
axis,h_XY_1_5,-6,4,174,17.004,2.342,0.5301,1.3722,0.4728,14052,363.6,
axis,h_XY_1_5,-4,6,176,16.099,1.806,0.4884,1.2018,0.4302,14048,365.2,
axis,h_XY_1_5,-2,8,178,15.117,1.198,0.4584,1.0507,0.3967,14044,378.4,
