2026-06-14 13:01:36  job=e29d1e5d5ace  VERDICT=PREPARING  status=MdStatus.preparing  seg=0/0:-  xsc=None(prev None)  C1'=- WC=-  namd=False launcher=True
2026-06-15 04:59:36  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=547200(prev 537600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 05:09:37  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=556800(prev 547200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 05:19:37  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=566400(prev 556800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 05:29:37  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=585600(prev 566400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 05:39:38  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=595200(prev 585600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 05:49:38  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=604800(prev 595200)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 05:59:38  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=614400(prev 604800)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 06:09:39  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=624000(prev 614400)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 06:19:39  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=633600(prev 624000)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
2026-06-15 06:29:40  job=e29d1e5d5ace  VERDICT=RUNNING_PROGRESSING  status=MdStatus.running  seg=1/12:18hb_01_300K_NPT_ENM_k0p5_p50  xsc=643200(prev 633600)  C1'=100.0% WC=94.8%  namd=True launcher=True  disk=48G
