position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.0,0.0626,0.49,-0.02,0.51
50.1,0.1252,1.63,-0.04,1.67
75.2,0.188,5.11,-0.04,5.15
100.4,0.251,7.15,-0.02,7.17
125.4,0.3135,6.36,-0.0,6.36
150.3,0.3759,6.51,0.01,6.5
175.4,0.4385,9.78,-0.0,9.78
200.4,0.501,15.1,-0.02,15.13
225.6,0.5639,24.1,-0.03,24.13
250.7,0.6267,31.58,-0.02,31.6
275.4,0.6885,33.93,-0.0,33.93
300.7,0.7517,40.76,0.01,40.75
325.7,0.8142,46.8,0.01,46.79
350.7,0.8768,50.79,-0.01,50.8
375.9,0.9397,54.96,-0.03,54.99
400.0,1.0,56.36,-0.01,56.37
