position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.3,0.0633,0.37,-0.03,0.4
50.4,0.126,2.33,-0.04,2.37
75.5,0.1888,5.43,-0.03,5.46
100.7,0.2516,5.47,-0.01,5.48
125.7,0.3143,6.63,0.0,6.63
150.8,0.3771,6.71,0.0,6.71
175.9,0.4397,11.32,-0.02,11.34
200.9,0.5023,16.61,-0.05,16.66
226.0,0.5649,22.87,-0.02,22.9
251.1,0.6278,25.75,0.0,25.75
276.1,0.6902,36.9,0.01,36.88
301.2,0.7529,49.94,0.0,49.94
326.4,0.8161,63.17,-0.02,63.19
351.6,0.8791,73.14,-0.03,73.17
376.8,0.942,85.56,-0.02,85.58
400.0,1.0,94.81,-0.0,94.81
