position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.8,0.062,-0.41,-0.02,-0.39
49.9,0.1248,-3.62,-0.04,-3.58
75.0,0.1875,-0.97,-0.04,-0.94
100.1,0.2502,1.69,-0.02,1.71
125.1,0.3127,1.73,-0.0,1.73
150.1,0.3753,4.33,0.01,4.32
175.1,0.4378,5.25,-0.0,5.25
200.0,0.5,9.83,-0.02,9.86
225.3,0.5631,17.08,-0.03,17.11
250.2,0.6255,22.9,-0.02,22.92
275.3,0.6882,31.96,-0.0,31.96
300.2,0.7505,41.2,0.01,41.19
325.3,0.8133,47.81,0.01,47.81
350.4,0.8759,51.23,-0.01,51.24
375.5,0.9389,52.48,-0.03,52.5
400.0,1.0,55.24,-0.01,55.25
