position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.1,0.0628,3.37,-0.03,3.4
50.2,0.1255,8.01,-0.04,8.05
75.2,0.1879,13.57,-0.03,13.6
100.1,0.2503,18.47,0.0,18.47
125.1,0.3128,23.04,0.01,23.03
150.2,0.3755,28.84,-0.01,28.85
175.2,0.438,31.76,-0.03,31.79
200.2,0.5005,32.96,-0.04,33.0
225.2,0.5631,36.49,-0.01,36.5
250.2,0.6255,41.97,0.01,41.96
275.2,0.6879,42.59,0.01,42.58
300.1,0.7502,43.62,-0.02,43.64
325.1,0.8129,48.23,-0.03,48.26
350.3,0.8757,51.72,-0.02,51.74
375.2,0.938,53.99,0.0,53.98
400.0,1.0,60.13,0.02,60.11
