position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.1,0.0628,2.01,-0.02,2.03
50.2,0.1254,3.0,-0.04,3.04
75.2,0.1881,3.22,-0.04,3.26
100.3,0.2508,2.58,-0.02,2.6
125.3,0.3132,2.28,-0.0,2.28
150.4,0.376,10.78,0.01,10.77
175.3,0.4381,25.83,-0.0,25.83
200.3,0.5008,35.86,-0.02,35.88
225.4,0.5634,43.38,-0.03,43.41
250.3,0.6257,47.93,-0.03,47.97
275.3,0.6881,53.21,-0.02,53.23
300.3,0.7508,55.38,0.01,55.37
325.2,0.8131,55.37,0.01,55.35
350.3,0.8758,56.32,0.0,56.32
375.3,0.9383,61.17,-0.02,61.19
400.0,1.0,63.63,-0.02,63.64
