position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.9,0.0622,-0.97,-0.02,-0.95
50.0,0.1251,-1.63,-0.04,-1.59
75.1,0.1876,1.39,-0.04,1.42
100.0,0.2501,1.9,-0.02,1.92
125.0,0.3124,1.96,-0.0,1.96
149.9,0.3748,3.25,0.01,3.25
174.9,0.4372,6.75,-0.0,6.75
199.7,0.4993,15.14,-0.02,15.16
224.9,0.5622,26.64,-0.03,26.68
250.2,0.6255,38.0,-0.02,38.02
275.2,0.6879,49.06,-0.0,49.06
300.2,0.7505,52.75,0.01,52.73
325.3,0.8132,54.77,0.01,54.76
350.3,0.8758,54.98,-0.01,54.99
375.2,0.9381,56.61,-0.03,56.64
400.0,1.0,57.86,-0.01,57.88
