position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.0,0.0626,0.59,-0.03,0.62
50.1,0.1252,6.11,-0.04,6.15
75.1,0.1877,12.97,-0.03,13.0
100.1,0.2504,15.84,0.0,15.83
125.3,0.3132,18.66,0.01,18.65
150.2,0.3756,22.58,-0.01,22.59
175.1,0.4378,28.79,-0.03,28.81
200.0,0.5,34.54,-0.04,34.59
225.0,0.5624,34.4,-0.01,34.41
250.0,0.625,35.82,0.01,35.81
275.1,0.6877,38.1,0.01,38.09
300.0,0.7499,41.08,-0.02,41.1
324.9,0.8123,39.66,-0.03,39.68
350.0,0.875,40.87,-0.02,40.89
375.1,0.9377,47.59,0.0,47.59
400.0,1.0,54.37,0.02,54.35
