position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.1,0.0627,3.52,-0.02,3.54
50.1,0.1253,4.57,-0.04,4.61
75.2,0.1879,4.46,-0.04,4.5
100.2,0.2504,6.41,-0.02,6.43
125.1,0.3128,11.37,-0.0,11.37
150.2,0.3755,12.56,0.01,12.55
175.3,0.4382,15.06,-0.0,15.06
200.3,0.5006,23.62,-0.02,23.64
225.3,0.5632,31.44,-0.03,31.47
250.4,0.626,38.01,-0.03,38.04
275.3,0.6883,43.88,-0.02,43.89
300.3,0.7507,49.16,0.01,49.15
325.3,0.8133,52.31,0.01,52.3
350.3,0.8757,53.65,0.0,53.64
375.2,0.9381,58.11,-0.02,58.13
400.0,1.0,60.6,-0.02,60.61
