position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.0,0.0626,3.02,-0.03,3.05
50.1,0.1253,4.67,-0.04,4.71
75.1,0.1879,5.44,-0.03,5.47
100.2,0.2506,5.27,-0.01,5.28
125.2,0.3131,3.19,0.0,3.18
150.3,0.3757,3.6,0.0,3.6
175.4,0.4385,4.19,-0.02,4.21
200.5,0.5013,2.48,-0.05,2.53
225.6,0.5641,2.63,-0.02,2.65
250.7,0.6268,6.79,0.0,6.79
275.7,0.6893,11.97,0.01,11.96
301.0,0.7525,16.2,0.0,16.2
326.3,0.8158,23.07,-0.02,23.09
351.2,0.8781,34.3,-0.03,34.33
376.2,0.9404,45.83,-0.02,45.85
400.0,1.0,53.95,-0.0,53.95
