position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.9,0.0621,1.22,-0.02,1.23
50.0,0.1249,-0.1,-0.04,-0.06
75.1,0.1877,-1.63,-0.04,-1.59
100.1,0.2501,-5.23,-0.02,-5.21
125.1,0.3128,-4.38,-0.01,-4.37
150.3,0.3757,-0.38,0.01,-0.39
175.1,0.4378,4.67,0.01,4.66
200.1,0.5003,2.5,-0.01,2.51
225.1,0.5628,-4.11,-0.02,-4.09
250.2,0.6256,-5.24,-0.04,-5.2
275.2,0.6879,-2.37,-0.03,-2.34
300.1,0.7502,-2.1,-0.01,-2.08
325.0,0.8125,-3.67,0.0,-3.67
350.0,0.875,-4.22,0.01,-4.24
375.0,0.9376,-1.27,0.0,-1.28
400.0,1.0,-0.08,-0.01,-0.07
