position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.3,0.0632,4.38,-0.03,4.41
50.5,0.1263,8.7,-0.04,8.74
75.5,0.1888,9.62,-0.03,9.65
100.7,0.2517,11.38,-0.01,11.39
125.6,0.3141,19.91,0.0,19.91
150.7,0.3767,23.49,0.0,23.49
175.6,0.4391,24.5,-0.02,24.52
200.6,0.5016,25.52,-0.04,25.55
225.8,0.5644,28.44,-0.03,28.47
250.8,0.627,37.6,-0.01,37.62
275.9,0.6897,48.74,0.01,48.73
301.0,0.7524,58.47,0.01,58.46
325.9,0.8149,69.59,-0.0,69.59
351.0,0.8776,81.0,-0.02,81.03
376.2,0.9405,91.66,-0.03,91.69
400.0,1.0,98.52,-0.02,98.53
