position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.9,0.0623,2.42,-0.03,2.45
50.1,0.1252,7.47,-0.04,7.52
75.2,0.188,13.81,-0.03,13.84
100.2,0.2504,19.18,-0.01,19.19
125.3,0.3132,22.43,0.0,22.43
150.3,0.3758,24.48,0.0,24.48
175.4,0.4385,31.55,-0.02,31.57
200.4,0.501,36.42,-0.05,36.47
225.4,0.5635,36.55,-0.02,36.57
250.5,0.6262,40.15,0.0,40.15
275.6,0.6889,43.49,0.01,43.48
300.6,0.7516,42.51,0.0,42.51
325.9,0.8147,43.32,-0.02,43.34
351.2,0.878,55.06,-0.03,55.09
376.1,0.9402,65.98,-0.02,66.0
400.0,1.0,75.49,-0.0,75.5
