position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.8,0.062,0.35,-0.03,0.38
49.9,0.1247,2.1,-0.05,2.14
75.0,0.1874,4.24,-0.04,4.28
99.9,0.2497,2.65,-0.02,2.67
125.0,0.3125,1.42,-0.01,1.43
150.1,0.3753,2.21,0.0,2.21
175.2,0.438,6.0,-0.01,6.02
200.2,0.5004,8.5,-0.04,8.54
225.3,0.5631,14.11,-0.03,14.14
250.3,0.6257,18.49,-0.03,18.52
275.4,0.6885,28.13,-0.01,28.13
300.6,0.7515,36.54,0.02,36.53
325.6,0.8139,42.71,-0.01,42.72
350.5,0.8762,47.34,-0.03,47.37
375.6,0.939,51.52,-0.02,51.54
400.0,1.0,57.68,-0.03,57.71
