position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.7,0.0618,1.15,-0.02,1.17
49.8,0.1245,0.64,-0.04,0.67
74.9,0.1873,3.19,-0.04,3.23
100.0,0.25,4.03,-0.02,4.05
125.1,0.3128,5.64,-0.01,5.66
150.2,0.3754,8.41,0.0,8.41
175.2,0.4379,15.18,0.01,15.18
200.2,0.5006,21.21,-0.01,21.22
225.4,0.5636,35.6,-0.02,35.62
251.0,0.6276,47.69,-0.04,47.72
276.1,0.6901,52.54,-0.03,52.57
300.9,0.7522,59.33,-0.01,59.34
326.1,0.8152,65.01,0.0,65.01
351.1,0.8779,64.99,0.01,64.98
376.3,0.9406,67.75,0.0,67.75
400.0,1.0,66.99,-0.01,67.0
