position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
24.9,0.0624,-1.88,-0.02,-1.86
49.9,0.1248,-2.31,-0.04,-2.27
75.1,0.1877,0.85,-0.04,0.89
100.1,0.2504,3.95,-0.02,3.98
125.1,0.3127,10.43,-0.01,10.45
149.9,0.3748,20.03,0.0,20.02
174.9,0.4372,29.54,0.01,29.53
200.0,0.5,37.33,-0.01,37.34
225.0,0.5624,41.01,-0.02,41.03
249.9,0.6247,41.93,-0.04,41.97
275.0,0.6874,44.26,-0.03,44.29
300.0,0.7499,48.76,-0.01,48.78
324.9,0.8122,51.24,0.0,51.24
349.9,0.8747,52.26,0.01,52.25
374.9,0.9373,52.54,0.0,52.53
400.0,1.0,52.37,-0.01,52.38
