position_bp,position_frac,cum_twist_sim,cum_twist_analytic,cum_twist_diff
0.0,0.0,0.0,0.0,0.0
25.0,0.0624,3.73,-0.03,3.77
50.0,0.1251,10.57,-0.04,10.61
75.1,0.1878,16.78,-0.03,16.81
100.2,0.2504,21.92,-0.01,21.94
125.2,0.3131,21.68,0.0,21.67
150.3,0.3757,21.87,0.0,21.87
175.2,0.438,25.76,-0.02,25.78
200.2,0.5005,26.9,-0.04,26.93
225.2,0.5631,26.71,-0.03,26.74
250.3,0.6257,28.33,-0.01,28.34
275.3,0.6884,34.09,0.01,34.08
300.6,0.7516,44.94,0.01,44.93
325.7,0.8142,57.14,-0.0,57.14
350.6,0.8764,71.16,-0.02,71.18
375.5,0.9387,82.16,-0.03,82.19
400.0,1.0,90.67,-0.02,90.69
