crossover_id,site_class,source_helix,destination_helix,bp,n_samples,n_valid,n_stable,valid_fraction,mean_azimuth_deg,mean_polar_deg,resultant_length,mean_vector_ih_ax_perp,mean_direction_ih_ax_perp
a4ad0c7a-b103-4647-b696-e6e5f6ae9634,reciprocal_lower,h_XY_2_3,h_XY_3_3,76,509,509,509,1.0,143.71324750471214,48.69387431360118,0.87099047936139,"[-0.5273942711160406, 0.5749251240007729, 0.3872218998518292]","[-0.6055109482973063, 0.6600819843889774, 0.44457650115273384]"
7fc2a0f9-b070-4c08-bfbc-ccc3ed78db20,reciprocal_upper,h_XY_3_3,h_XY_3_4,70,509,509,509,1.0,-144.12031387978223,45.256144040169325,0.692249917608677,"[-0.39838186683510346, 0.487301413332977, -0.2881651768862455]","[-0.575488500181094, 0.7039385645813024, -0.41627332782023213]"
98d68dcd-4c9f-46a1-905f-3ad5e7cbb42b,reciprocal_lower,h_XY_1_4,h_XY_2_4,76,509,509,509,1.0,142.65623862760074,72.44138322957347,0.879137725825257,"[-0.6663599591364725, 0.2652194537426439, 0.5084350373305296]","[-0.7579699284443203, 0.3016813474745146, 0.5783337722803963]"
6adebd25-be98-49ac-b6c8-de92ae92fc0f,reciprocal_upper,h_XY_2_4,h_XY_2_5,70,509,509,509,1.0,-175.2339553208475,99.52522411447002,0.860010160170408,"[-0.8452203860506257, -0.14231602590145687, -0.0704707270600914]","[-0.9828027914032413, -0.16548179602117427, -0.08194173781171128]"
1586d05a-2974-4801-8c0d-f1ae25cf1522,reciprocal_lower,h_XY_2_5,h_XY_3_5,76,509,486,466,0.9548133595284872,155.9826840796292,81.8522555879576,0.8857730571723096,"[-0.8009180491704938, 0.1255372200954885, 0.35688176430858304]","[-0.9042023153507266, 0.14172616685389622, 0.4029042895568213]"
5e7c1d93-dbdf-4c27-a393-c9ae9a70dfe4,reciprocal_lower,h_XY_1_6,h_XY_1_5,6,509,508,508,0.9980353634577603,-19.924461133811043,125.22258224769772,0.5409953159313442,"[0.4154947779172143, -0.31202139446061417, -0.15060767172369907]","[0.7680191781363653, -0.5767543364464393, -0.27838997360711376]"
c0549105-d759-41f1-9a3d-9a1c7399c14e,unpaired,h_XY_1_5,h_XY_1_4,0,509,480,470,0.9430255402750491,-40.125379470188086,38.92224756225614,0.6769008594593791,"[0.3251792414500694, 0.5266283650932463, -0.27407261728603616]","[0.4803941920088276, 0.7779992560710426, -0.4048932919141659]"
046a3408-0803-4a19-87e4-8ae7ae5b5355,reciprocal_lower,h_XY_1_4,h_XY_1_3,6,509,509,509,1.0,-4.201035936214013,68.67533461299608,0.9007264908934588,"[0.836803618833404, 0.3275512444304998, -0.06146622793529912]","[0.9290318729310962, 0.36365228262087806, -0.0682407240785478]"
50830302-dd5d-4337-9c0c-2a8d5eb69b9b,unpaired,h_XY_1_3,h_XY_1_2,0,509,509,509,1.0,22.199776599114585,71.88871494711212,0.5480589531024534,"[0.4822914864871296, 0.17037160024392412, 0.19681731623034768]","[0.879999284305042, 0.31086363844525144, 0.35911705322247495]"
b79ecc85-5bc0-4259-b3e1-6df4c9b2815b,reciprocal_lower,h_XY_1_2,h_XY_1_1,6,509,456,435,0.8958742632612967,16.101713577580846,88.07020570128255,0.7678094052310095,"[0.7372705147583687, 0.02585590233033172, 0.2128260866148954]","[0.9602259489600122, 0.033674896600872584, 0.2771860896271032]"
4c3043b2-9fe5-44b3-922d-0549d32f3de7,unpaired,h_XY_1_1,h_XY_1_0,0,509,509,509,1.0,31.63146909327996,76.43441988833622,0.6960026433940592,"[0.5760713922756066, 0.16325310947272836, 0.35483778386841436]","[0.8276856384717054, 0.23455817448713132, 0.5098224658142773]"
416620c8-356e-469f-8254-d632e3ed777b,reciprocal_lower,h_XY_1_6,h_XY_1_5,27,509,508,508,0.9980353634577603,-9.48878271999333,109.29478851184726,0.866115622632272,"[0.8062821172710871, -0.2861893253787873, -0.13476308536010856]","[0.9309174158764845, -0.33042854545102124, -0.1555947980138503]"
0d9abdde-3a80-4c1c-b3b8-1b3ed54268db,reciprocal_upper,h_XY_1_5,h_XY_1_4,21,509,427,420,0.8388998035363457,25.97385250719624,111.44768002555587,0.9159350312106478,"[0.7663997878411964, -0.3349129794326601, 0.3733652940531004]","[0.836740338261982, -0.3656514578222704, 0.4076329448384571]"
6118519d-6e57-4663-b2a2-20637e3a1e57,reciprocal_lower,h_XY_1_4,h_XY_1_3,27,509,509,509,1.0,-7.254298826374178,70.58705006682828,0.8951222562626513,"[0.8374746948293585, 0.29751564194455, -0.10660408986307578]","[0.935598114078869, 0.3323743096130228, -0.1190944467275043]"
