position_bp,cum_twist_diff
0.0,0.0
25.1,3.68
50.3,3.38
75.3,5.64
100.4,6.12
125.4,7.55
150.6,12.2
175.8,15.71
200.8,21.64
225.9,27.31
250.9,33.3
275.9,40.44
301.0,48.48
326.1,53.8
351.2,58.88
376.3,63.79
400.0,71.92
