position_bp,cum_curv_diff
0.0,0.0
25.3,-0.0
50.4,1.4
75.4,2.44
100.3,4.17
125.3,5.69
150.3,5.92
175.4,7.23
200.5,8.44
225.5,9.58
250.3,12.8
275.3,17.87
300.2,19.53
325.3,22.51
350.4,25.96
375.5,27.65
400.0,29.61
