position_bp,cum_curv_diff
0.0,0.0
25.2,0.0
50.3,2.68
75.2,4.28
100.2,5.06
125.2,5.96
150.2,7.9
175.2,11.05
200.2,14.19
225.2,16.94
250.1,19.41
275.1,23.08
300.3,26.86
325.4,31.17
350.3,33.61
375.4,35.48
400.0,37.04
