position_bp,cum_twist_diff
0.0,0.0
24.9,2.05
49.7,3.72
74.8,6.77
99.9,8.27
124.8,8.88
150.0,11.51
175.0,12.99
200.0,12.36
225.2,12.93
250.3,19.43
275.1,25.25
300.0,29.88
325.3,41.15
350.3,46.05
375.3,51.56
400.0,56.73
