position_bp,cum_curv_diff
0.0,0.0
24.3,0.0
49.4,1.36
74.4,3.77
99.5,5.05
124.8,7.33
149.8,7.94
174.7,8.5
199.7,11.41
224.9,13.29
250.0,15.04
275.3,16.69
300.5,18.51
325.2,23.2
350.3,27.58
375.3,28.82
400.0,31.79
