position_bp,cum_curv_diff
0.0,0.0
25.0,0.0
50.2,3.42
75.3,4.65
100.3,6.78
125.4,8.75
150.6,10.89
175.7,12.0
200.8,14.35
225.9,16.94
251.1,19.97
276.1,21.76
301.1,24.03
326.2,27.68
351.5,29.91
376.9,30.83
400.0,34.6
