position_bp,cum_curv_diff
0.0,0.0
25.2,0.0
50.3,2.7
75.4,6.24
100.5,9.57
125.5,11.78
150.5,15.08
175.6,17.3
200.6,19.03
225.7,21.25
251.0,27.12
275.6,33.62
301.1,43.68
325.2,50.26
351.1,59.16
376.0,62.87
400.0,68.15
