position_bp,cum_twist_diff
0.0,0.0
25.2,0.42
50.3,3.61
75.2,7.5
100.2,7.39
125.2,11.39
150.2,17.29
175.2,20.13
200.2,20.92
225.2,23.58
250.1,31.47
275.1,44.55
300.3,54.39
325.4,59.86
350.3,64.87
375.4,69.37
400.0,75.05
