position_bp,cum_twist_diff
0.0,0.0
25.2,-1.06
50.3,-0.05
75.4,3.98
100.5,5.46
125.5,5.68
150.5,9.55
175.6,16.02
200.6,22.67
225.7,24.72
251.0,31.46
275.6,34.42
301.1,36.64
325.2,46.96
351.1,52.55
376.0,51.52
400.0,49.99
