position_bp,cum_twist_diff
0.0,0.0
25.0,4.64
50.2,11.66
75.3,17.45
100.3,19.63
125.4,23.8
150.6,27.35
175.7,30.46
200.8,32.47
225.9,35.8
251.1,41.05
276.1,53.07
301.1,64.96
326.2,76.99
351.5,87.99
376.9,101.93
400.0,108.41
