position_bp,cum_twist_diff
0.0,0.0
24.3,2.4
49.4,5.21
74.4,8.73
99.5,9.67
124.8,11.39
149.8,13.23
174.7,14.98
199.7,17.65
224.9,24.34
250.0,29.6
275.3,35.29
300.5,41.84
325.2,42.25
350.3,44.9
375.3,49.18
400.0,53.72
