position_bp,cum_twist_diff
0.0,0.0
25.3,2.73
50.4,4.62
75.4,6.85
100.3,7.16
125.3,9.47
150.3,10.98
175.4,12.89
200.5,11.23
225.5,11.34
250.3,18.15
275.3,24.58
300.2,30.3
325.3,36.13
350.4,42.22
375.5,47.32
400.0,52.88
