position_bp,cum_twist_diff
0.0,0.0
25.0,0.34
49.9,0.09
75.1,1.16
100.0,2.03
125.0,4.08
150.0,6.41
174.9,8.44
200.0,10.91
225.0,12.23
249.9,9.49
274.9,6.84
299.9,5.03
324.9,6.03
350.1,6.56
375.1,3.74
400.0,2.88
