position_bp,cum_curv_diff
0.0,0.0
24.4,0.0
49.5,2.04
74.8,3.06
100.2,3.67
125.4,5.4
150.4,7.5
175.6,9.92
200.9,12.14
226.2,13.96
251.4,16.81
276.5,22.48
301.5,29.63
326.8,38.2
351.7,40.71
377.0,42.95
400.0,50.1
