position_bp,cum_curv_diff
0.0,0.0
25.0,0.0
49.9,2.4
75.1,2.75
100.0,6.09
125.0,9.02
150.0,11.88
174.9,12.74
200.0,13.75
225.0,16.71
249.9,19.69
274.9,24.38
299.9,27.65
324.9,29.7
350.1,30.99
375.1,33.44
400.0,33.92
