position_bp,cum_curv_diff
0.0,0.0
25.1,0.0
50.3,2.21
75.3,3.82
100.4,4.46
125.4,6.18
150.6,9.43
175.8,11.2
200.8,14.08
225.9,18.66
250.9,19.8
275.9,19.94
301.0,21.76
326.1,23.22
351.2,24.58
376.3,26.03
400.0,26.66
